date,Purpose,Plat Book,Page
2004-10-29,Lots & tracts Valley Falls Roard et al, PLT 156,948
2005-01-04,43.278 A Valley Falls Road et al,PLT 157,250
2005-03-09,Tracts Stewarts Landing NR Boiling Springs,PLT 157,601
2005-05-31,Lots and tracts Hanging Rock Road et al NR Boiling Springs,PLT 158,49
2005-07-27,0.511 A Shoreline Boulevard et al,PLT 158,364
2005-08-12,Tracts Shoreline Boulevard et al NR Valley Falls,PLT 158,435
2005-08-12,Tracts Pierview Way et al NR Valley Falls,PLT 158,436
2005-09-20,177.32 A Shoreline Boulevard et al NR Valley Falls,PLT 158, 622
2005-09-20,177.32 A Stewarts Landing et al NR Valley Falls,PLT 158, 621
2006-01-10,11.063 A Hanging Rock Road et al NR Boiling Springs,PLT 159,175
2006-07-17,6.878 A Shoreline Boulevard et al Valley Falls,PLT 160,107
2007-06-14,0.09 A Stewarts Landing,PLT 161,692
2012-07-16,177.32 A Valley Falls Road et al near Valley Falls,PLT 166,841
2012-09-07,1.022 A Shoreline Boulevard near Valley Falls,PLT 166,983
2012-11-15,177.32 A Marchbanks Road et al near Valley Falls,PLT 167,165
2013-01-09,7.749 A Dunleith Court et al near Valley Falls,PLT 168,294
2014-04-17,2.758 A Pierview Way et al near Valley Falls,PLT 168,528
2014-07-11,Lots and tracts Culverhouse Road near Valley Falls,PLT 168,827
2015-02-27,2.974 A Stewarts Landing near Boiling Springs,PLT 169,552
2015-04-02,24.239 A Culverhouse Road et al,PLT 169,680